assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1736,0,0,0,3,1,0,0,94,121,27,47,FALSE,0,0,Pascal,Groß,2,2,58,1361,22,645.5,327,290,9,263,126.4,2,0,0,1.4,67,59,,,,,
0,30,0,0,0,12,0,3,25,1.8,1,0,0,1,1,0,0.7,5.4,0,0,0,90,0,0,2,0,0,0,0,7,0,33,0,34539,1,0,0,3,1,0,2,-190,442,632,46,FALSE,0,0,Davy,Pröpper,1,1,67,2385,41,241.7,374,121,3,329,73.9,4,0,2,0.2,48,60,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,19248,0,0,0,3,1,0,0,-47,58,105,49,FALSE,0,0,José Heriberto,Izquierdo Mena,0,2,24,586,6,62.4,59.4,142,0,73,26.4,2,0,1,0.1,59,61,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,38987,0,0,0,3,1,0,0,-371,8,379,53,FALSE,0,0,Glenn,Murray,11,0,103,2029,34,144.1,400.8,704,13,271,123.1,3,0,5,3,63,62,,,,,
0,22,0,0,0,17,0,3,15,12.8,0,0,0,5,1,1,8.2,32.4,1,0,0,90,1,0,2,1,0,0,0,4,0,33,0,190128,1,0,0,3,1,37,3,-2131,8952,11083,57,FALSE,0,1,Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,63,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,51279,0,0,0,3,1,0,0,-81,15,96,45,FALSE,0,0,Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,64,,,,,
1,24,1,0,2,38,0,0,20,23.5,1,0,0,1,1,1,12,48.4,2,0,0,90,4,0,2,0,0,0,0,5,0,33,0,61324,1,0,2,3,1,48,11,1864,4345,2481,62,FALSE,0,0,Jürgen,Locadia,2,0,47,1022,14,171.7,147.8,339,6,140,65.5,3,0,1,0.3,53,65,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,0,29622,0,0,0,0,2,0,0,-29,7,36,55,TRUE,0,0,Florin,Andone,3,0,34,631,10,29.5,132.6,325,2,87,48.1,1,0,2,0.2,50,66,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,0,8855,0,0,0,0,2,0,0,-220,42,262,47,TRUE,0,0,Tom,Heaton,0,0,43,1260,19,20,299.4,4,3,232,32.3,3,0,1,0.6,48,67,,,,,
0,51,0,0,0,21,1,3,44,13.5,0,0,0,4,0,0,2.5,5.2,1,0,0,90,0,0,19,0,0,0,0,5,0,33,0,685369,0,2,1,0,2,6,5,46951,51894,4943,63,TRUE,0,1,Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,48,68,,,,,
