first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Patrick,van Aanholt,2,2,126,3016,43,516.9,557.6,420,16,573,149.7,11,0,3,5.4,55,Patrick,van Aanholt,142
Mamadou,Sakho,0,0,88,2416,35,78.2,540.6,47,13,533,66.6,9,0,2,1.3,49,Mamadou,Sakho,143
Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Jairo,Riedewald,144
Aaron,Wan-Bissaka,0,2,105,2774,40,235.4,760.2,133,15,587,113.1,11,1,4,24.6,45,Aaron,Wan-Bissaka,145
Jason,Puncheon,0,0,15,392,9,79.9,43.6,39,0,50,16.3,1,0,1,1,42,Jason,Puncheon,146
James,McArthur,2,6,103,2697,42,407.8,544,375,5,412,132.8,10,0,6,2.7,48,James,McArthur,147
Bakary,Sako,0,0,2,6,1,0.1,0,0,0,7,0,0,0,0,0,49,Bakary,Sako,148
Andros,Townsend,4,4,113,2806,42,844.5,614.2,534,5,437,199.5,11,0,1,3.4,57,Andros,Townsend,149
Luka,Milivojevic,12,1,156,3060,46,736.7,988.2,444,24,666,217,11,0,8,8.9,64,Luka,Milivojevic,150
Wilfried,Zaha,8,8,118,2681,42,627.4,611.4,1052,12,365,229.2,10,1,7,12.4,69,Wilfried,Zaha,151
Christian,Benteke,0,0,19,640,11,94.6,37,305,0,19,42.5,2,0,1,0.4,63,Christian,Benteke,152
Alexander,Sørloth,0,0,12,173,3,38.3,19.2,59,0,32,11.3,0,0,0,0.1,48,Alexander,Sørloth,153
Jordan,Pickford,0,0,142,3060,44,10,741,0,13,630,75,11,0,1,13.1,49,Jordan,Pickford,154
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,39,Maarten,Stekelenburg,155
Leighton,Baines,0,0,7,374,6,91.4,48.4,15,0,48,15.4,0,0,0,0.5,50,Leighton,Baines,156
Seamus,Coleman,1,2,98,2288,30,339.2,430,184,9,465,95.3,10,0,1,1.5,52,Seamus,Coleman,157
Phil,Jagielka,1,0,20,323,4,21.4,79.2,43,3,74,14.3,2,1,0,0.5,43,Phil,Jagielka,158
Ashley,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Ashley,Williams,159
Mason,Holgate,0,0,5,407,9,5,92.2,2,0,61,9.9,0,0,1,0.1,43,Mason,Holgate,160
Jonjoe,Kenny,0,1,19,789,15,102.7,166.2,12,0,134,28,1,0,1,0.2,42,Jonjoe,Kenny,161
Michael,Keane,1,2,109,2610,37,99.4,647.2,282,14,553,103.3,10,0,2,4,48,Michael,Keane,162
Cuco,Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Cuco,Martina,163
Theo,Walcott,3,3,86,1934,31,333.6,330.2,561,4,241,121.9,6,0,1,2.6,59,Theo,Walcott,164
Yannick,Bolasie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,Yannick,Bolasie,165
James,McCarthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,James,McCarthy,166
Morgan,Schneiderlin,0,1,18,472,7,101.3,96.2,14,0,97,21.2,2,0,1,1.8,42,Morgan,Schneiderlin,167
Idrissa,Gueye,0,1,65,2502,30,250.5,544.4,117,0,404,91.3,10,0,5,0.3,47,Idrissa,Gueye,168
Tom,Davies,0,0,26,975,19,96.2,122.6,103,0,127,32.1,2,0,3,0.1,50,Tom,Davies,169
Ademola,Lookman,0,2,28,552,7,156,119.6,148,0,99,42.5,1,0,0,0.1,49,Ademola,Lookman,170
Davy,Klaassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Davy,Klaassen,171
Gylfi,Sigurdsson,12,4,157,2767,39,956.7,844.8,968,17,580,276.9,12,0,3,7.4,74,Gylfi,Sigurdsson,172
Nikola,Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Nikola,Vlasic,173
Beni,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Beni,Baningime,174
Dominic,Calvert-Lewin,6,4,83,1517,26,147.2,298.4,511,3,250,94.6,5,0,3,2,54,Dominic,Calvert-Lewin,175
Oumar,Niasse,0,0,26,862,12,74.6,57.6,280,0,23,41,4,0,0,0.4,50,Oumar,Niasse,176
Cenk,Tosun,2,3,46,937,15,129.5,168.2,459,0,129,75.4,1,0,3,1.5,64,Cenk,Tosun,177
Marcus,Bettinelli,0,0,15,630,20,0,195,0,0,114,19.4,0,0,1,0.3,42,Marcus,Bettinelli,178
David,Button,0,0,15,360,5,0,89.2,0,2,76,8.9,1,0,0,2.6,40,David,Button,179
Tim,Ream,0,0,35,1776,48,44.3,278.4,3,3,276,32.7,3,0,1,0.1,42,Tim,Ream,180
Denis,Odoi,0,1,37,2476,62,163.3,554,58,2,398,77.8,2,0,4,0.1,44,Denis,Odoi,181
Tom,Cairney,1,1,64,1918,46,516.1,321,168,3,347,100.6,4,0,0,0.4,46,Tom,Cairney,182
Kevin,McDonald,0,0,17,837,27,71.9,99.6,15,0,123,18.7,0,1,4,0.2,42,Kevin,McDonald,183
Ryan,Sessegnon,2,7,84,1956,56,425.9,383,346,3,262,115.8,1,0,0,1.9,60,Ryan,Sessegnon,184
Stefan,Johansen,0,0,11,409,12,33,48.8,7,0,48,9,0,0,4,0,50,Stefan,Johansen,185
Floyd,Ayité,1,0,19,380,10,53.5,75.4,64,0,63,19.1,0,0,0,0.1,43,Floyd,Ayité,186
Neeskens,Kebano,0,0,6,92,2,7.8,17.6,8,0,21,3.3,0,0,0,0,43,Neeskens,Kebano,187
Rui Pedro,da Rocha Fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Rui Pedro,da Rocha Fonte,188
