assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18977,0,0,0,2,0,0,0,-23,10,33,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19493,0,0,0,2,0,0,0,65,981,916,53,1,0,0,2,0,49,1112,19,179.9,150,354,6,149,68,3,0,1,0.3
0,7,0,0,0,-7,0,0,6,0.8,0,0,0,2,0,0,2.3,0,0,0,0,36,0,0,5,0,0,0,0,0,0,0,12061,8,0,0,2,0,24,1,702,1286,584,50,1,0,0,3,0,35,724,12,46.9,136,353,2,78,52.8,1,0,3,0.2
0,21,0,0,1,24,1,1,7,0,0,0,0,0,0,0,1,10.4,0,0,0,90,0,0,5,0,0,0,0,6,0,2,36097,0,0,0,0,2,0,7,-1326,1449,2775,48,1,0,0,0,0,50,1350,19,20,309.8,4,4,256,33.3,4,0,1,0.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10632,0,0,0,0,2,0,0,-21,23,44,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
0,22,0,0,1,24,1,4,15,1.4,1,0,0,0,0,0,1.4,12.2,0,0,0,90,0,0,5,0,0,0,0,4,0,0,13856,0,1,0,0,2,0,7,26,105,79,46,1,0,0,0,0,31,1388,33,105.4,252.4,28,1,228,38.7,4,0,5,0.2
0,29,0,0,0,21,1,7,17,0.3,0,0,0,0,0,0,4.8,21.2,0,0,0,90,0,0,5,0,0,0,0,4,0,0,103748,0,0,1,0,2,26,6,-621,1444,2065,46,1,0,0,0,2,78,3060,60,99.1,770.4,232,5,518,110.3,8,0,9,1.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30648,0,0,0,0,2,0,0,9,128,119,47,1,0,0,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.5
0,23,0,0,0,19,1,11,18,0.5,1,0,0,4,0,0,6.1,26.4,0,0,0,90,0,0,5,0,0,0,0,2,0,0,280038,0,1,0,0,2,34,5,2375,9212,6837,47,1,0,1,3,2,94,2726,55,58.1,895.4,407,7,474,136.3,7,0,6,4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19664,0,0,0,0,2,0,0,-38,186,224,41,1,0,0,0,1,16,513,9,11.6,147.8,8,0,101,16.8,1,0,0,0.3
0,33,0,0,0,21,1,3,23,1.4,4,0,0,0,0,0,2.1,19,0,0,0,90,0,0,5,0,0,0,0,8,0,0,27201,3,0,1,0,2,1,6,83,2070,1987,44,1,0,0,0,1,77,2880,56,241.7,588.2,30,2,465,86.1,7,0,2,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11344,0,0,0,0,2,0,0,-1652,85,1737,42,1,0,0,0,0,33,1670,27,139.6,267.8,66,0,224,47.4,4,0,9,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,68397,0,0,0,0,2,0,0,-1099,679,1778,55,1,0,0,3,6,85,1635,36,546.4,414.2,364,6,314,132.6,5,0,2,1.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1429,0,0,0,0,2,0,0,-33,8,41,53,1,0,0,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0
0,19,0,0,0,14,1,0,10,22.7,2,0,0,0,0,0,4,11.2,1,0,0,90,0,2,5,0,0,0,0,2,0,0,9673,0,2,1,0,2,6,3,-115,38,153,52,1,0,0,1,2,61,1802,39,182.1,180.8,247,3,206,61,4,0,4,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1284,0,0,0,0,2,0,0,4,31,27,54,1,0,0,0,1,17,627,14,174.9,91.4,81,0,64,34.8,1,1,3,0
0,32,0,1,0,6,1,1,20,16.9,0,0,0,0,0,0,6.6,15.2,1,0,0,90,0,0,5,0,0,0,0,6,0,0,213373,0,0,0,0,2,34,3,16652,28703,12051,46,1,0,0,2,8,104,2461,47,593.6,574.2,251,10,473,142.3,7,0,4,3.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1671,0,0,0,0,2,0,0,-69,23,92,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,14,1,2,23,13.1,0,0,0,1,0,0,2.9,13.6,1,0,0,90,0,0,5,0,0,0,0,6,0,0,33497,1,2,0,0,2,2,3,-1039,240,1279,46,1,0,0,1,2,80,2952,55,290,450,214,0,406,95.6,8,0,5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19118,0,0,0,0,2,0,0,-135,12,147,49,1,0,0,1,1,41,1214,22,121.2,151.6,108,2,133,38,3,0,1,0.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38650,0,0,0,0,2,0,0,-361,6,367,53,1,0,0,3,0,48,907,20,108.6,152,292,7,130,54.3,2,0,0,0.6
0,23,1,1,0,2,1,1,9,12.3,0,0,0,2,0,0,3.8,10.2,1,0,0,90,1,0,5,0,0,0,0,2,0,0,165845,1,1,0,0,2,15,1,-24714,8355,33069,57,1,0,1,10,3,104,2037,33,294.1,482.8,898,10,334,167,7,0,7,2.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,51197,0,0,0,0,2,0,0,-95,17,112,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
