,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
199,-0.029411765,1.720733333,0.0165,Aaron,Mooy,,,,,,,,,,,,
527,-0.029411765,1.7176,0.0164,Nampalys,Mendy,,,,,,,,,,,,
359,-0.058823529,2.663166667,0.016166667,Davinson,Sánchez,,,,,,,,,,,,
78,-0.058823529,1.941233333,0.015333333,Jeff,Hendrick,,,,,,,,,,,,
255,-0.058823529,1.7641,0.015266667,Fabio Henrique,Tavares,,,,,,,,,,,,
456,-0.088235294,1.331766667,0.014966667,Jean Michael,Seri,,,,,,,,,,,,
476,0,1.781566667,0.0144,Alireza,Jahanbakhsh,,,,,,,,,,,,
5,-0.088235294,2.375566667,0.014166667,Nacho,Monreal,,,,,,,,,,,,
519,0,1.892566667,0.0141,Leander,Dendoncker,,,,,,,,,,,,
29,0,2.260566667,0.0137,Adam,Smith,,,,,,,,,,,,
279,-0.088235294,0.841733333,0.0137,Oleksandr,Zinchenko,,,,,,,,,,,,
472,-0.029411765,0.755666667,0.0135,Daniel,Sturridge,,,,,,,,,,,,
299,-0.088235294,0.706566667,0.013433333,Ander,Herrera,,,,,,,,,,,,
356,0,2.061466667,0.0134,Ben,Davies,,,,,,,,,,,,
348,-0.058823529,0.919466667,0.013233333,Charlie,Austin,,,,,,,,,,,,
32,0,0.780473333,0.013,Jack,Simpson,,,,,,,,,,,,
69,0,1.714633333,0.0129,Matthew,Lowton,,,,,,,,,,,,
314,0,1.0411,0.012866667,Florian,Lejeune,,,,,,,,,,,,
167,-0.029411765,0.768833333,0.0127,Morgan,Schneiderlin,,,,,,,,,,,,
249,0.941176471,2.134,0.0126,Jordan,Henderson,,,,,,,,,,,,
84,0,0.589666667,0.012233333,Sam,Vokes,,,,,,,,,,,,
143,0,0.978433333,0.012166667,Mamadou,Sakho,,,,,,,,,,,,
121,0,1.490033333,0.012133333,Emerson,Palmieri dos Santos,,,,,,,,,,,,
146,0,0.4938,0.0116,Jason,Puncheon,,,,,,,,,,,,
460,0,1.168,0.0115,Cyrus,Christie,,,,,,,,,,,,
119,0,0.8452,0.011333333,Andreas,Christensen,,,,,,,,,,,,
499,-0.058823529,0.8118,0.0112,Mateo,Kovacic,,,,,,,,,,,,
239,-0.029411765,0.730766667,0.011166667,Dejan,Lovren,,,,,,,,,,,,
296,0,1.2253,0.011033333,Nemanja,Matic,,,,,,,,,,,,
168,-0.029411765,1.824433333,0.010833333,Idrissa,Gueye,,,,,,,,,,,,
102,-0.029411765,1.982366667,0.0108,Aron,Gunnarsson,,,,,,,,,,,,
75,0,0.966466667,0.010733333,Phil,Bardsley,,,,,,,,,,,,
65,0,1.3972,0.0107,Jürgen,Locadia,,,,,,,,,,,,
315,-0.058823529,1.5744,0.010666667,Javier,Manquillo,,,,,,,,,,,,
303,0,1.039733333,0.0105,Scott,McTominay,,,,,,,,,,,,
259,-0.029411765,1.402666667,0.010466667,Dominic,Solanke,,,,,,,,,,,,
1,0,0.686057143,0.010366667,Petr,Cech,,,,,,,,,,,,
580,0,1.261133333,0.010266667,Chris,Mepham,,,,,,,,,,,,
446,-0.058823529,0.588833333,0.01,Ken,Sema,,,,,,,,,,,,
26,-0.058823529,0.945,0.0099,Simon,Francis,,,,,,,,,,,,
181,-0.029411765,0.939533333,0.0099,Denis,Odoi,,,,,,,,,,,,
33,-0.029411765,0.925666667,0.009833333,Harry,Arter,,,,,,,,,,,,
369,0.911764706,1.923833333,0.009666667,Moussa,Sissoko,,,,,,,,,,,,
263,0,1.949666667,0.009548485,Vincent,Kompany,,,,,,,,,,,,
344,-0.058823529,0.565,0.0095,Mario,Lemina,,,,,,,,,,,,
492,0,0.621833333,0.0094,Rachid,Ghezzal,,,,,,,,,,,,
178,0,0.501733333,0.0093,Marcus,Bettinelli,,,,,,,,,,,,
435,-0.058823529,0.6268,0.009233333,Hélder,Costa,,,,,,,,,,,,
61,-0.058823529,1.039666667,0.0091,José Heriberto,Izquierdo Mena,,,,,,,,,,,,
346,0,0.579966667,0.0089,Mohamed,Elyounoussi,,,,,,,,,,,,
242,0,0.785433333,0.008766667,Joseph,Gomez,,,,,,,,,,,,
139,0,1.480933333,0.008733333,Scott,Dann,,,,,,,,,,,,
336,0,0.890833333,0.0085,Wesley,Hoedt,,,,,,,,,,,,
284,0,1.652833333,0.0083,Chris,Smalling,,,,,,,,,,,,
402,-0.029411765,0.8787,0.008166667,Aaron,Cresswell,,,,,,,,,,,,
